"source","term_name","term_id","adjusted_p_value","negative_log10_of_adjusted_p_value","term_size","query_size","intersection_size","effective_domain_size","intersections"
"GO:BP","regulation of inflammatory response","GO:0050727","0.0005288994797136943","3.276626860202764","392","146","13","18092","ENSG00000110492,ENSG00000204592,ENSG00000176046,ENSG00000140274,ENSG00000125730,ENSG00000196126,ENSG00000184979,ENSG00000173432,ENSG00000100906,ENSG00000143546,ENSG00000131203,ENSG00000006210,ENSG00000124256"
"GO:BP","regulation of cytokine-mediated signaling pathway","GO:0001959","0.0005720729682141152","3.2425485731796333","185","146","9","18092","ENSG00000019582,ENSG00000115415,ENSG00000173193,ENSG00000185507,ENSG00000138496,ENSG00000160710,ENSG00000184979,ENSG00000101347,ENSG00000124256"
"GO:BP","antigen processing and presentation of peptide or polysaccharide antigen via MHC class II","GO:0002504","0.0005816826320116923","3.235313903253532","103","146","7","18092","ENSG00000019582,ENSG00000196126,ENSG00000179344,ENSG00000198502,ENSG00000231389,ENSG00000204287,ENSG00000089692"
"GO:BP","regulation of defense response to virus by host","GO:0050691","0.0006098959596269257","3.214744243700084","42","146","5","18092","ENSG00000115415,ENSG00000107201,ENSG00000138496,ENSG00000163840,ENSG00000140464"
"GO:BP","positive regulation of I-kappaB kinase/NF-kappaB signaling","GO:0043123","0.0006098959596269257","3.214744243700084","187","146","9","18092","ENSG00000121858,ENSG00000130303,ENSG00000019582,ENSG00000132274,ENSG00000196126,ENSG00000164054,ENSG00000006210,ENSG00000152778,ENSG00000112343"
"GO:BP","neutrophil chemotaxis","GO:0030593","0.0006830722592528891","3.1655333517579027","106","146","7","18092","ENSG00000110492,ENSG00000019582,ENSG00000163739,ENSG00000169429,ENSG00000173432,ENSG00000143546,ENSG00000006210"
"GO:BP","energy derivation by oxidation of organic compounds","GO:0015980","0.0006932066332357863","3.1591372902109827","291","146","11","18092","ENSG00000198786,ENSG00000198804,ENSG00000198695,ENSG00000212907,ENSG00000198763,ENSG00000198888,ENSG00000198727,ENSG00000198938,ENSG00000198712,ENSG00000198886,ENSG00000138035"
"GO:BP","cytoplasmic pattern recognition receptor signaling pathway","GO:0002753","0.0006985400067142399","3.15580871596686","72","146","6","18092","ENSG00000185507,ENSG00000107201,ENSG00000115267,ENSG00000137628,ENSG00000100906,ENSG00000110446"
"GO:BP","regulation of monocyte differentiation","GO:0045655","0.0007211509814455937","3.141973801099928","22","146","4","18092","ENSG00000019582,ENSG00000185507,ENSG00000196126,ENSG00000177606"
"GO:BP","regulation of nuclease activity","GO:0032069","0.0007211509814455937","3.141973801099928","22","146","4","18092","ENSG00000089127,ENSG00000111335,ENSG00000111331,ENSG00000135114"
"GO:BP","cellular response to stimulus","GO:0051716","0.0007211509814455937","3.141973801099928","7840","146","88","18092","ENSG00000185885,ENSG00000142089,ENSG00000126709,ENSG00000165949,ENSG00000187608,ENSG00000157601,ENSG00000121858,ENSG00000119917,ENSG00000130303,ENSG00000110492,ENSG00000185745,ENSG00000125148,ENSG00000019582,ENSG00000089127,ENSG00000183486,ENSG00000119922,ENSG00000204592,ENSG00000176046,ENSG00000115415,ENSG00000172183,ENSG00000111335,ENSG00000132530,ENSG00000173193,ENSG00000188313,ENSG00000111331,ENSG00000185201,ENSG00000134321,ENSG00000108679,ENSG00000132274,ENSG00000185507,ENSG00000100911,ENSG00000135114,ENSG00000156587,ENSG00000125730,ENSG00000173821,ENSG00000025708,ENSG00000134326,ENSG00000057149,ENSG00000068079,ENSG00000107201,ENSG00000196126,ENSG00000170345,ENSG00000115267,ENSG00000055332,ENSG00000240065,ENSG00000138496,ENSG00000137628,ENSG00000140279,ENSG00000160710,ENSG00000170581,ENSG00000177606,ENSG00000163739,ENSG00000184979,ENSG00000101347,ENSG00000067066,ENSG00000162654,ENSG00000198502,ENSG00000231389,ENSG00000204287,ENSG00000123240,ENSG00000164054,ENSG00000117228,ENSG00000169429,ENSG00000004468,ENSG00000173432,ENSG00000100906,ENSG00000196684,ENSG00000175197,ENSG00000101596,ENSG00000136235,ENSG00000128383,ENSG00000163840,ENSG00000138035,ENSG00000143546,ENSG00000125740,ENSG00000102524,ENSG00000006210,ENSG00000123609,ENSG00000087074,ENSG00000089692,ENSG00000152778,ENSG00000152518,ENSG00000124256,ENSG00000140464,ENSG00000110446,ENSG00000120129,ENSG00000173702,ENSG00000112343"
"GO:BP","autocrine signaling","GO:0035425","0.0007529368604060981","3.123241441232139","8","146","3","18092","ENSG00000057149,ENSG00000143546,ENSG00000006210"
"GO:BP","positive regulation of response to biotic stimulus","GO:0002833","0.0007596948188385149","3.1193608354984605","243","146","10","18092","ENSG00000204592,ENSG00000188313,ENSG00000185507,ENSG00000100911,ENSG00000240065,ENSG00000138496,ENSG00000137628,ENSG00000089692,ENSG00000124256,ENSG00000173702"
"GO:BP","negative regulation of response to external stimulus","GO:0032102","0.0008159583295000727","3.0883320198371647","413","146","13","18092","ENSG00000110492,ENSG00000204592,ENSG00000173193,ENSG00000196126,ENSG00000149131,ENSG00000160710,ENSG00000101347,ENSG00000133710,ENSG00000173432,ENSG00000006210,ENSG00000123609,ENSG00000120129,ENSG00000112343"
